product_id,product_name,category,brand,price,cost
P00001,森木运动鞋3代,服饰,森木,234.01,154.65
P00002,清颜面霜6代,美妆,清颜,140.34,85.54
P00003,云启机械键盘6代,数码,云启,746.90,491.89
P00004,味来茶叶4代,食品,味来,30.36,18.84
P00005,晴舍台灯3代,家居,晴舍,936.19,592.51
P00006,亲贝积木6代,母婴,亲贝,1289.19,760.51
P00007,力场瑜伽垫4代,运动,力场,340.66,269.42
P00008,青卷管理书2代,图书,青卷,99.71,76.43
P00009,恒净净水器3代,家电,恒净,1817.56,1316.37
P00010,简衣外套4代,服饰,简衣,167.15,97.30
P00011,新知小说4代,图书,新知,131.27,93.02
P00012,清颜粉底液1代,美妆,清颜,144.56,102.73
P00013,木里台灯5代,家居,木里,454.03,330.90
P00014,晴舍靠垫5代,家居,晴舍,620.95,327.20
P00015,木里餐具套装3代,家居,木里,197.81,116.54
P00016,小树苗积木2代,母婴,小树苗,181.73,142.61
P00017,麦禾坚果礼盒2代,食品,麦禾,97.05,52.94
P00018,鲜语酸奶6代,食品,鲜语,123.09,77.43
P00019,云电电饭煲4代,家电,云电,1476.25,1173.90
P00020,星联机械键盘2代,数码,星联,1543.78,981.93
P00021,兰沁口红5代,美妆,兰沁,249.88,133.62
P00022,青卷绘本1代,图书,青卷,159.48,112.06
P00023,兰沁精华液4代,美妆,兰沁,181.02,100.15
P00024,柔光台灯1代,家居,柔光,514.52,330.92
P00025,味来速溶咖啡4代,食品,味来,133.59,99.05
P00026,麦禾曲奇饼干6代,食品,麦禾,113.89,71.05
P00027,白鲸冰箱2代,家电,白鲸,499.29,348.17
P00028,山野跑步机6代,运动,山野,405.93,239.59
P00029,极客派蓝牙耳机6代,数码,极客派,1541.60,1007.22
P00030,北岸外套4代,服饰,北岸,309.41,226.18
P00031,灯塔历史书4代,图书,灯塔,62.06,44.09
P00032,小树苗儿童餐椅2代,母婴,小树苗,1261.48,956.04
P00033,清颜洁面乳2代,美妆,清颜,257.71,178.70
P00034,青禾外套1代,服饰,青禾,279.14,149.62
P00035,北岸休闲裤5代,服饰,北岸,285.50,219.06
P00036,暖芽纸尿裤4代,母婴,暖芽,206.80,155.54
P00037,北岸卫衣1代,服饰,北岸,374.02,219.41
P00038,宅研餐具套装6代,家居,宅研,662.81,457.71
P00039,风速篮球1代,运动,风速,656.91,444.13
P00040,简衣外套3代,服饰,简衣,504.07,327.61
P00041,青禾运动鞋3代,服饰,青禾,155.58,85.41
P00042,麦禾茶叶5代,食品,麦禾,99.93,59.33
P00043,味来坚果礼盒4代,食品,味来,323.17,244.38
P00044,花漾口红3代,美妆,花漾,348.28,187.49
P00045,云启显示器2代,数码,云启,1720.61,1211.70
P00046,恒净电饭煲5代,家电,恒净,2031.41,1583.45
P00047,澄光吹风机5代,家电,澄光,656.94,420.30
P00048,森木连衣裙2代,服饰,森木,270.90,208.50
P00049,初白口红3代,美妆,初白,244.62,144.05
P00050,鹿屿粉底液5代,美妆,鹿屿,442.08,340.79
P00051,鲜语坚果礼盒4代,食品,鲜语,68.21,49.56
P00052,云启智能手表1代,数码,云启,1921.33,1109.97
P00053,灯塔管理书4代,图书,灯塔,66.03,37.35
P00054,暖芽儿童湿巾4代,母婴,暖芽,224.28,126.20
P00055,木里四件套5代,家居,木里,838.13,456.77
P00056,森木衬衫6代,服饰,森木,159.65,103.44
P00057,鲜语速溶咖啡1代,食品,鲜语,15.00,8.48
P00058,极客派智能手表5代,数码,极客派,2203.75,1456.31
P00059,墨舟小说6代,图书,墨舟,63.31,51.37
P00060,远读编程书3代,图书,远读,83.27,49.21
P00061,贝童奶瓶5代,母婴,贝童,571.71,309.37
P00062,柔光靠垫1代,家居,柔光,1532.24,1171.19
P00063,山田记茶叶6代,食品,山田记,131.49,69.35
P00064,花漾粉底液2代,美妆,花漾,80.76,42.77
P00065,青卷编程书3代,图书,青卷,245.21,181.12
P00066,云上外套5代,服饰,云上,67.28,36.43
P00067,力场篮球3代,运动,力场,194.41,153.82
P00068,森木运动鞋2代,服饰,森木,410.15,251.81
P00069,小方净水器5代,家电,小方,1612.80,1200.12
P00070,花漾口红4代,美妆,花漾,150.66,109.65
P00071,跃动篮球2代,运动,跃动,1332.62,963.26
P00072,白鲸洗衣机1代,家电,白鲸,3090.40,2238.89
P00073,宅研四件套2代,家居,宅研,1069.56,597.50
P00074,新知考试教材5代,图书,新知,73.77,49.31
P00075,亲贝奶瓶5代,母婴,亲贝,310.97,198.83
P00076,简衣休闲裤5代,服饰,简衣,100.93,78.37
P00077,云上连衣裙2代,服饰,云上,154.27,82.68
P00078,晴舍餐具套装1代,家居,晴舍,310.97,213.86
P00079,北岸连衣裙3代,服饰,北岸,500.35,314.97
P00080,青卷绘本5代,图书,青卷,63.56,44.80
P00081,云上外套4代,服饰,云上,97.00,67.74
P00082,北岸衬衫4代,服饰,北岸,183.14,114.93
P00083,清颜洁面乳3代,美妆,清颜,150.80,96.11
P00084,麦禾茶叶4代,食品,麦禾,44.87,24.83
P00085,晨芯蓝牙耳机4代,数码,晨芯,1790.60,970.58
P00086,晴舍四件套6代,家居,晴舍,835.52,641.72
P00087,山野哑铃5代,运动,山野,691.35,488.44
P00088,山田记酸奶1代,食品,山田记,33.20,24.57
P00089,跃动运动背包4代,运动,跃动,556.82,346.96
P00090,森木休闲裤4代,服饰,森木,143.88,108.21
P00091,谷小满速溶咖啡2代,食品,谷小满,166.73,133.55
P00092,远读绘本2代,图书,远读,86.19,67.71
P00093,山野运动背包4代,运动,山野,620.77,423.01
P00094,花漾防晒霜1代,美妆,花漾,529.42,330.13
P00095,麦禾牛肉干6代,食品,麦禾,127.59,67.86
P00096,云上衬衫5代,服饰,云上,306.65,239.61
P00097,山田记速溶咖啡1代,食品,山田记,399.00,268.54
P00098,麦禾酸奶1代,食品,麦禾,86.80,70.18
P00099,安心宝积木3代,母婴,安心宝,736.49,430.38
P00100,恒净扫地机器人3代,家电,恒净,1811.65,1260.76
P00101,北岸运动鞋4代,服饰,北岸,98.87,59.39
P00102,青禾外套2代,服饰,青禾,506.54,302.15
P00103,远读历史书6代,图书,远读,26.96,18.10
P00104,清颜洁面乳6代,美妆,清颜,699.00,421.32
P00105,云上连衣裙4代,服饰,云上,82.21,60.03
P00106,兰沁面霜4代,美妆,兰沁,135.69,95.92
P00107,墨舟考试教材1代,图书,墨舟,91.97,58.51
P00108,鹿屿防晒霜1代,美妆,鹿屿,73.51,50.83
P00109,清颜口红5代,美妆,清颜,255.22,171.42
P00110,青禾休闲裤5代,服饰,青禾,139.15,76.05
P00111,味来速溶咖啡2代,食品,味来,70.43,42.01
P00112,云启智能手表6代,数码,云启,2569.36,1734.57
P00113,山田记茶叶4代,食品,山田记,80.49,44.30
P00114,初白粉底液1代,美妆,初白,91.63,56.64
P00115,兰沁粉底液2代,美妆,兰沁,420.23,240.95
P00116,简衣衬衫6代,服饰,简衣,164.60,133.97
P00117,轻跑哑铃6代,运动,轻跑,866.56,619.36
P00118,鹿屿口红6代,美妆,鹿屿,202.32,146.76
P00119,轻跑瑜伽垫4代,运动,轻跑,920.04,499.59
P00120,暖芽奶瓶2代,母婴,暖芽,324.76,183.78
P00121,清颜防晒霜5代,美妆,清颜,176.68,130.16
P00122,花漾面霜5代,美妆,花漾,199.18,110.40
P00123,极客派显示器5代,数码,极客派,1845.58,1038.59
P00124,云上外套5代,服饰,云上,469.31,344.79
P00125,山田记茶叶3代,食品,山田记,106.49,73.92
P00126,山野瑜伽垫5代,运动,山野,633.65,494.98
P00127,兰沁防晒霜3代,美妆,兰沁,52.64,40.24
P00128,简衣卫衣4代,服饰,简衣,155.43,88.54
P00129,兰沁口红6代,美妆,兰沁,255.78,201.09
P00130,山田记酸奶6代,食品,山田记,89.85,72.39
P00131,小树苗奶瓶5代,母婴,小树苗,264.69,157.90
P00132,贝童儿童湿巾4代,母婴,贝童,280.81,216.30
P00133,极客派平板电脑5代,数码,极客派,5059.46,3766.78
P00134,山田记速溶咖啡2代,食品,山田记,59.84,43.61
P00135,墨舟历史书4代,图书,墨舟,109.37,76.17
P00136,智造者平板电脑6代,数码,智造者,2148.65,1336.93
P00137,简衣连衣裙1代,服饰,简衣,226.43,144.71
P00138,森木连衣裙5代,服饰,森木,289.11,154.86
P00139,宅研收纳柜5代,家居,宅研,776.76,567.39
P00140,森木外套5代,服饰,森木,129.13,72.95
P00141,新知编程书3代,图书,新知,87.73,69.48
P00142,简衣外套1代,服饰,简衣,633.16,517.39
P00143,谷小满茶叶1代,食品,谷小满,47.69,29.21
P00144,鹿屿精华液3代,美妆,鹿屿,246.60,182.74
P00145,麦禾牛肉干1代,食品,麦禾,97.13,60.18
P00146,智造者显示器5代,数码,智造者,2031.99,1323.79
P00147,清颜防晒霜3代,美妆,清颜,248.45,192.40
P00148,简衣衬衫3代,服饰,简衣,87.57,48.29
P00149,兰沁洁面乳2代,美妆,兰沁,209.68,142.20
P00150,智造者显示器2代,数码,智造者,708.35,444.06
P00151,云启显示器3代,数码,云启,2001.56,1113.13
P00152,晴舍收纳柜4代,家居,晴舍,177.24,116.76
P00153,墨舟小说4代,图书,墨舟,136.51,104.46
P00154,小树苗纸尿裤6代,母婴,小树苗,151.37,95.49
P00155,宅研空气炸锅1代,家居,宅研,972.61,667.85
P00156,云启机械键盘5代,数码,云启,5465.09,3734.66
P00157,鹿屿面霜5代,美妆,鹿屿,232.93,149.57
P00158,北岸连衣裙3代,服饰,北岸,185.83,138.43
P00159,青卷管理书4代,图书,青卷,19.00,12.47
P00160,简衣衬衫1代,服饰,简衣,287.24,185.48
P00161,兰沁口红2代,美妆,兰沁,190.74,127.48
P00162,云上连衣裙2代,服饰,云上,342.80,258.60
P00163,青卷考试教材2代,图书,青卷,46.10,27.60
P00164,亲贝儿童湿巾5代,母婴,亲贝,294.46,211.38
P00165,简衣外套6代,服饰,简衣,83.64,56.51
P00166,跃动哑铃2代,运动,跃动,325.95,182.73
P00167,智造者智能手表2代,数码,智造者,1089.85,688.91
P00168,墨舟历史书5代,图书,墨舟,53.79,38.49
P00169,小方洗衣机4代,家电,小方,672.80,370.39
P00170,住造台灯1代,家居,住造,274.84,212.01
P00171,宅研靠垫2代,家居,宅研,819.50,483.26
P00172,谷小满酸奶3代,食品,谷小满,65.54,51.27
P00173,山野篮球2代,运动,山野,526.69,329.34
P00174,花漾面霜3代,美妆,花漾,469.70,376.16
P00175,白鲸电饭煲5代,家电,白鲸,926.20,706.49
P00176,晴舍四件套6代,家居,晴舍,404.04,283.47
P00177,灯塔绘本1代,图书,灯塔,206.32,157.41
P00178,北岸连衣裙5代,服饰,北岸,176.91,106.33
P00179,柔光餐具套装5代,家居,柔光,247.56,131.58
P00180,澄光扫地机器人6代,家电,澄光,1388.69,1113.58
P00181,谷小满曲奇饼干2代,食品,谷小满,169.30,108.39
P00182,鹿屿口红5代,美妆,鹿屿,228.84,131.39
P00183,智造者智能手表1代,数码,智造者,3439.87,2418.70
P00184,初白洁面乳5代,美妆,初白,148.24,104.51
P00185,云启蓝牙耳机4代,数码,云启,1343.13,1099.83
P00186,北岸休闲裤1代,服饰,北岸,71.50,42.29
P00187,麦禾速溶咖啡5代,食品,麦禾,206.87,150.57
P00188,初白面霜6代,美妆,初白,126.90,101.43
P00189,花漾防晒霜6代,美妆,花漾,437.21,330.24
P00190,极客派显示器6代,数码,极客派,3268.02,1709.71
P00191,云启蓝牙耳机3代,数码,云启,1520.35,1025.74
P00192,晨芯路由器6代,数码,晨芯,1042.79,688.81
P00193,北岸休闲裤4代,服饰,北岸,190.95,124.29
P00194,青禾卫衣1代,服饰,青禾,266.20,185.34
P00195,云启蓝牙耳机3代,数码,云启,7574.32,5458.57
P00196,北岸连衣裙3代,服饰,北岸,207.77,167.42
P00197,柔光餐具套装4代,家居,柔光,402.55,311.86
P00198,青禾运动鞋5代,服饰,青禾,124.41,93.17
P00199,初白洁面乳1代,美妆,初白,165.75,114.91
P00200,宅研靠垫1代,家居,宅研,155.51,98.72
P00201,简衣卫衣3代,服饰,简衣,206.31,150.85
P00202,简衣运动鞋1代,服饰,简衣,280.40,197.89
P00203,鲜语茶叶4代,食品,鲜语,41.97,24.06
P00204,跃动篮球2代,运动,跃动,558.85,378.41
P00205,青禾休闲裤5代,服饰,青禾,124.96,90.05
P00206,宅研空气炸锅5代,家居,宅研,557.85,369.73
P00207,轻跑运动背包3代,运动,轻跑,1197.82,708.07
P00208,星联机械键盘4代,数码,星联,1736.09,1117.55
P00209,初白粉底液3代,美妆,初白,483.12,284.19
P00210,清颜防晒霜1代,美妆,清颜,166.50,93.87
P00211,力场瑜伽垫2代,运动,力场,807.68,466.83
P00212,小树苗儿童湿巾6代,母婴,小树苗,196.24,139.55
P00213,宅研靠垫1代,家居,宅研,309.69,193.02
P00214,北岸卫衣4代,服饰,北岸,172.80,141.62
P00215,住造收纳柜5代,家居,住造,370.15,229.77
P00216,森木衬衫3代,服饰,森木,373.73,288.63
P00217,麦禾曲奇饼干1代,食品,麦禾,113.42,85.40
P00218,晨芯路由器3代,数码,晨芯,849.17,614.53
P00219,安心宝积木5代,母婴,安心宝,282.10,195.68
P00220,鹿屿洁面乳3代,美妆,鹿屿,156.72,104.04
P00221,灯塔绘本2代,图书,灯塔,64.82,43.88
P00222,初白精华液2代,美妆,初白,211.83,126.17
P00223,初白洁面乳2代,美妆,初白,108.49,59.56
P00224,初白口红4代,美妆,初白,339.60,226.91
P00225,云上连衣裙2代,服饰,云上,108.14,86.12
P00226,味来酸奶3代,食品,味来,40.34,27.11
P00227,灯塔考试教材4代,图书,灯塔,86.62,48.02
P00228,味来坚果礼盒2代,食品,味来,97.88,60.30
P00229,谷小满坚果礼盒3代,食品,谷小满,24.87,17.05
P00230,云上休闲裤2代,服饰,云上,249.34,164.13
P00231,贝童奶瓶1代,母婴,贝童,139.36,81.45
P00232,北岸卫衣5代,服饰,北岸,423.69,242.04
P00233,北岸外套6代,服饰,北岸,165.30,88.36
P00234,跃动跑步机4代,运动,跃动,1838.39,1356.31
P00235,墨舟历史书1代,图书,墨舟,44.62,29.39
P00236,晨芯机械键盘6代,数码,晨芯,1922.20,1396.91
P00237,青禾卫衣5代,服饰,青禾,182.82,115.43
P00238,墨舟考试教材3代,图书,墨舟,87.84,57.39
P00239,清颜口红4代,美妆,清颜,97.97,65.43
P00240,晨芯显示器6代,数码,晨芯,3583.25,2704.79
P00241,晨芯蓝牙耳机1代,数码,晨芯,5332.60,3100.61
P00242,森木外套4代,服饰,森木,345.61,213.87
P00243,山田记牛肉干6代,食品,山田记,52.84,28.89
P00244,轻跑跑步机5代,运动,轻跑,986.36,638.17
P00245,味来曲奇饼干3代,食品,味来,48.91,27.73
P00246,山田记曲奇饼干4代,食品,山田记,149.93,110.37
P00247,北岸连衣裙2代,服饰,北岸,178.44,142.40
P00248,简衣休闲裤1代,服饰,简衣,353.07,208.15
P00249,暖芽积木5代,母婴,暖芽,539.52,304.43
P00250,山野跑步机2代,运动,山野,757.36,420.62
P00251,山田记牛肉干4代,食品,山田记,286.96,176.60
P00252,小树苗儿童餐椅1代,母婴,小树苗,501.10,350.28
P00253,麦禾速溶咖啡4代,食品,麦禾,59.30,43.19
P00254,味来牛肉干4代,食品,味来,250.82,191.57
P00255,白鲸吹风机5代,家电,白鲸,1917.33,1033.70
P00256,极客派路由器3代,数码,极客派,1168.85,673.66
P00257,木里收纳柜1代,家居,木里,613.19,492.00
P00258,森木运动鞋4代,服饰,森木,59.00,37.52
P00259,谷小满速溶咖啡3代,食品,谷小满,63.05,49.21
P00260,小树苗奶瓶6代,母婴,小树苗,235.10,126.24
P00261,云电洗衣机6代,家电,云电,2560.52,1386.70
P00262,谷小满坚果礼盒4代,食品,谷小满,93.44,69.20
P00263,青禾衬衫6代,服饰,青禾,213.06,116.34
P00264,山田记坚果礼盒5代,食品,山田记,180.22,105.42
P00265,花漾精华液6代,美妆,花漾,186.66,149.17
P00266,初白口红1代,美妆,初白,117.94,95.90
P00267,贝童婴儿推车4代,母婴,贝童,278.47,165.21
P00268,北岸休闲裤4代,服饰,北岸,467.53,289.02
P00269,北岸运动鞋6代,服饰,北岸,233.43,173.22
P00270,贝童儿童湿巾4代,母婴,贝童,628.87,357.54
P00271,兰沁精华液6代,美妆,兰沁,400.54,211.23
P00272,恒净扫地机器人6代,家电,恒净,4421.59,3322.85
P00273,简衣连衣裙5代,服饰,简衣,309.44,225.64
P00274,安心宝奶瓶5代,母婴,安心宝,244.20,136.61
P00275,木里靠垫2代,家居,木里,1009.33,555.08
P00276,山田记曲奇饼干4代,食品,山田记,101.57,69.95
P00277,兰沁洁面乳5代,美妆,兰沁,284.12,170.17
P00278,青禾连衣裙6代,服饰,青禾,289.14,214.20
P00279,智造者蓝牙耳机6代,数码,智造者,1502.33,1226.46
P00280,麦禾茶叶3代,食品,麦禾,59.11,46.46
P00281,清颜面霜2代,美妆,清颜,262.60,195.61
P00282,宅研四件套5代,家居,宅研,156.65,116.48
P00283,风速跑步机4代,运动,风速,134.77,82.12
P00284,谷小满酸奶4代,食品,谷小满,114.17,89.44
P00285,山野哑铃5代,运动,山野,612.47,437.68
P00286,鹿屿面霜5代,美妆,鹿屿,133.89,96.02
P00287,青禾外套1代,服饰,青禾,357.43,291.62
P00288,云启智能手表2代,数码,云启,4363.48,3447.26
P00289,智造者平板电脑5代,数码,智造者,1178.52,645.84
P00290,恒净净水器1代,家电,恒净,740.93,530.09
P00291,住造餐具套装4代,家居,住造,1153.95,867.74
P00292,谷小满牛肉干6代,食品,谷小满,62.47,39.18
P00293,暖芽婴儿推车4代,母婴,暖芽,360.44,270.88
P00294,花漾精华液1代,美妆,花漾,140.91,105.41
P00295,暖芽纸尿裤6代,母婴,暖芽,636.89,371.07
P00296,木里空气炸锅6代,家居,木里,943.76,522.91
P00297,星联智能手表2代,数码,星联,2165.44,1603.00
P00298,智造者蓝牙耳机3代,数码,智造者,2827.66,2207.17
P00299,安心宝奶瓶4代,母婴,安心宝,336.06,179.80
P00300,智造者平板电脑4代,数码,智造者,3462.54,2488.06
P00301,青禾连衣裙2代,服饰,青禾,362.69,276.72
P00302,味来速溶咖啡1代,食品,味来,176.48,94.30
P00303,麦禾酸奶1代,食品,麦禾,64.42,37.21
P00304,清颜口红6代,美妆,清颜,105.09,68.05
P00305,恒净冰箱6代,家电,恒净,3788.74,2288.55
P00306,亲贝儿童餐椅2代,母婴,亲贝,283.09,196.95
P00307,花漾口红5代,美妆,花漾,135.32,91.78
P00308,兰沁精华液2代,美妆,兰沁,246.68,152.29
P00309,鹿屿面霜6代,美妆,鹿屿,186.65,121.27
P00310,花漾精华液3代,美妆,花漾,197.90,133.20
P00311,风速瑜伽垫2代,运动,风速,1231.31,852.31
P00312,贝童婴儿推车1代,母婴,贝童,246.06,161.92
P00313,安心宝婴儿推车5代,母婴,安心宝,206.83,117.09
P00314,花漾口红4代,美妆,花漾,213.88,166.66
P00315,远读编程书5代,图书,远读,51.31,31.59
P00316,云启机械键盘2代,数码,云启,3661.90,1946.18
P00317,轻跑哑铃6代,运动,轻跑,1377.94,993.69
P00318,远读小说3代,图书,远读,98.26,61.64
P00319,远读绘本5代,图书,远读,56.13,30.94
P00320,恒净净水器1代,家电,恒净,1558.48,1157.71
P00321,青禾连衣裙5代,服饰,青禾,307.21,240.68
P00322,北岸外套2代,服饰,北岸,206.06,155.57
P00323,云上衬衫6代,服饰,云上,193.78,134.72
P00324,兰沁洁面乳5代,美妆,兰沁,263.60,202.09
P00325,柔光台灯1代,家居,柔光,768.58,472.12
P00326,住造餐具套装5代,家居,住造,213.30,174.14
P00327,谷小满坚果礼盒3代,食品,谷小满,88.62,49.72
P00328,森木运动鞋4代,服饰,森木,67.65,45.19
P00329,星联路由器3代,数码,星联,2378.89,1452.13
P00330,兰沁口红6代,美妆,兰沁,317.49,167.96
P00331,谷小满茶叶6代,食品,谷小满,149.78,103.35
P00332,宅研餐具套装1代,家居,宅研,543.19,349.50
P00333,住造靠垫1代,家居,住造,451.18,357.24
P00334,力场瑜伽垫6代,运动,力场,150.07,78.35
P00335,味来速溶咖啡3代,食品,味来,72.90,46.98
P00336,麦禾酸奶6代,食品,麦禾,64.93,50.97
P00337,初白防晒霜1代,美妆,初白,189.37,145.14
P00338,兰沁精华液2代,美妆,兰沁,129.85,79.85
P00339,谷小满酸奶3代,食品,谷小满,63.31,34.77
P00340,谷小满酸奶6代,食品,谷小满,87.38,46.95
P00341,木里收纳柜4代,家居,木里,430.14,275.24
P00342,青卷考试教材6代,图书,青卷,54.89,44.48
